tmdb_id,genre
50620,Drama
50620,Romance
50646,Comedy
50646,Drama
50646,Romance
50647,Comedy
50647,Romance
50716,Animation
50716,Drama
50716,Action
50716,Science Fiction
50723,Adventure
50723,Action
50723,Animation
50725,Comedy
50725,Drama
50725,Romance
50780,Drama
50837,Drama
50837,Thriller
50838,Mystery
50838,Thriller
50838,Horror
50839,Thriller
50839,Drama
51052,Drama
51052,Animation
51052,Family
51052,Comedy
51162,Animation
51162,Family
51162,Adventure
51162,Comedy
51170,Adventure
51170,Animation
51170,Family
51170,Comedy
51170,TV Movie
51209,Action
51209,Crime
51209,Thriller
51209,Drama
51241,Drama
51241,Romance
51447,Comedy
51497,Action
51497,Thriller
51497,Crime
51533,Action
51533,Comedy
51540,Comedy
51540,Crime
51588,Comedy
51588,Romance
51608,Action
51608,Thriller
51608,Crime
51739,Fantasy
51739,Animation
51739,Family
51828,Drama
51828,Romance
51876,Thriller
51876,Mystery
51876,Science Fiction
51999,Drama
51999,Science Fiction
51999,Romance
52015,Drama
52015,Horror
52015,Science Fiction
52067,Comedy
52077,Comedy
52274,Horror
52274,Thriller
52449,Comedy
52451,Adventure
52451,Action
52451,Thriller
52505,Drama
52520,Fantasy
52520,Action
52520,Horror
52629,Action
52629,Crime
52629,Western
52629,Comedy
52629,Drama
53172,Crime
53172,Comedy
53182,Action
53182,Drama
53182,War
53319,Comedy
53399,Drama
53457,Drama
53457,War
53487,Drama
54054,Action
54054,Comedy
54054,Crime
54138,Action
54138,Adventure
54138,Science Fiction
54186,Drama
54186,Thriller
54186,Mystery
54518,Music
54518,Documentary
54518,Family
55292,Action
55292,Drama
55301,Comedy
55301,Fantasy
55301,Family
55301,Music
55301,Animation
55341,Horror
55347,Drama
55347,Romance
55347,Comedy
55420,Drama
55420,Science Fiction
55465,Comedy
55720,Drama
55721,Comedy
55721,Romance
55725,Drama
55725,Comedy
55779,Horror
55779,Mystery
55787,Drama
55787,Romance
55846,Crime
55846,Action
55846,Thriller
56288,Family
56288,Comedy
56288,Action
56288,Adventure
56292,Action
56292,Thriller
56292,Adventure
56812,Adventure
56812,Comedy
56812,Drama
56812,Horror
56812,Thriller
56909,Comedy
57089,Comedy
57089,Animation
57089,Family
57157,Comedy
57157,Drama
57158,Fantasy
57158,Adventure
57158,Action
57165,Fantasy
57165,Adventure
57165,Action
57201,Action
57201,Adventure
57201,Western
57212,War
57212,History
57212,Drama
57214,Comedy
57331,Action
57331,Adventure
57331,Thriller
57361,Drama
